css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Daniela A.,"Manteca, CA",0,1,5/20/2022,"The staff at this Urgent care when above and beyond for me. I went in yesterday and the front staff was nice and gave me an accurate wait time, one of them was kind enough to print and laminate an insurance card for me. When the doctor saw me she addressed all my concerns and questions in detail and with compassion. She did extra procedures on my leg that I know other doctors wouldn't have taken the time to do. my mediations had been sent to the pharmacy of my choice before I even stepped out of the clinic. Today they even called me for a follow-up. I hope I don't need to go back but if I do, I feel confident I will be in good hands.",,,,,,,,,,
Miriam B.,"Bell, CA",0,5,5/27/2022,"Fast and reliable, they honor Kaiserall you need to pay is your copay and they give you the medicine here as well . I bring my kids here all the time since Kaiser doesn't have urgent care for kids. Same day COVID results fast/ same day covered bu your insurance.",,,,,,,,,,
Alice K.,"Los Angeles, CA",94,75,5/27/2022,"I have come to Downtown Urgent Care for multitude of reasons: from slicing my hand open while trying to take an avocado seed out, TB testing for work, food poisoning, and more. I am sincerely thankful to the staff and doctors here for consistently taking good care of me. They accept most health insurance which is helpful; I have bounced around from Blue Shield, Anthem, and Kaiser, and they accept all of them. Drive around the block and usually you can find easy street parking. Wait time can occasionally be long, so I do recommend you call in ahead of time.",5,,,,,,,,,
G V.,"Los Angeles, CA",4,29,4/5/2022,Love the people providing medical care. Did not love the lady that picked up the phone. I'm in extreme physical pain and I called in for wait time. I was asking about wait time and she just hung up on me. Lol. I've been here before a long time ago. the actual provider she was sweet and helpful. And I think there was one nurse. She has braids. She may not be here anymore. Who was also cheery and nice. My nurse helped me feed the meter when I was seeing the provider. But I like how I am physically and blinded by pain and got hung up on. Yay!,3,,,,,,,,,
Stephanie W.,"Los Angeles, CA",466,258,3/4/2022,"After posting this review, I heard from their customer service team within days. I am expecting a refund in the mail. The customer service team, Danielle specifically, was great in their outreach and extremely apologetic for the issue I had run into. I appreciate them fixing this issue, and their honesty in that it should have been resolved sooner.That being said, my experience getting a rapid test here was quick and smooth. I had my results within minutes.",72,3,,,,,,,,
Portida T.,"Los Angeles, CA",172,342,1/7/2022,"No doctor in-office at 10:30am? YIKES. They didn't know when the doctor was coming in.... All appts were told ""We don't know when the doctor is coming in"". That's not good.*** I came before 11am for PCR and did not get results back until the next day at 11pm** don't come here if you want a PCR for travel. You won't get it in time. If you're here for a COVID test NOT using insurance, you can get your test done with an RN. If you want to use insurance, you'll have to wait to be seen by the NONEXISTENT MD. A little tricky don't ya think?COVID Antigen= 95 bucksCOVID PCR= 150Parking: They allegedly have one, but the gate was down...",65,5,1,,,,,,,
Zeno E.,"Los Angeles, CA",6,19,6/15/2022,I had never been to an Urgent Care as quick and professional as this location. All staff was super friendly and attentive. I knew I was in good hands. Thank goodness it's not too far from home and will come here whenever needed. Thank you!,20,,,,,,,,,
Evelina R.,"Los Angeles, CA",0,111,10/15/2021,"I bought my daughter for urgent care and our visit was amazing. Nothing is better than being greeted by a lovely young lady. We waited maybe about 15 mins when we got brought back to a room and was assisted by Anh ""with and H"" ha! She was so sweet and had a complete conversation with my daughter which I love. There so many urgent cares that I've gone to where the nurse completely ignores the child but not here everyone was so kind and amazing. Great job. Robert was great too at doing the wound care and upon check out Valeria was amazing. I must say Dr Chung is A M A Z I N G !!!",48,1,,,,,,,,
Amber G.,"Los Angeles, CA",0,1,5/10/2022,"I came to get X-rays done and they were insistent on not being able to find my insurance number because I didn't have a physical card only a picture. They told me my only option was to pay out of pocket which started at $99, I needed an X-ray of my hand done and I'm covered by kaiser *ONE OF THE INSURANCES THEY LIST ON THEIR WEBSITE* I left and spent half an hour on the phone with Kaiser member services making sure I was covered and even got my member card downloaded onto my phone wallet. I went back to provide what they asked for. the younger receptionist immediately told me they ""don't scan"" any cards?? She was rude from the first time we went in but when we came back she was especially unprofessional interrupting me and then ?? snarling ?? at me when I asked her to let me finish what I was saying. It didn't hurt my feelings, just rly weird behavior for a clinic dealing with people in need of Urgent CARE.",1,1,,,,,,,,
Nenalinda V.,"Los Angeles, CA",63,107,9/8/2021,Horrible experienceI went with my elderly cousin and they still did not care she was struggliing and passing back and forthThey made me wait 1 1/2 hour.Then when I finally went in the woman said I needed to pay when she has full medicare and medical.The staff there are not very experienced. And on top of that they dont separate patients they make you wait in the lobby with people that are actually have symptoms. Not a good idea.This is not the right place.I regret coming and waiting 2 hours of my time with a really sick person.,15,1,,,,,,,,
Cassidy F.,"Los Angeles, CA",235,355,8/14/2021,"This is the best urgent care I've been to so far, and not just because I actually felt better. They have excellent service and are super clean. I've never been here before but it was super great to know they had free parking in a parking garage. And just walking into the patient rooms, you see how clean and organized it is, which is also great. I had terrible heartburn as a side effect of a medication I was taking and nothing seemed to help. I visited here and I saw Dr. Obzejta. She seemed to actually care and have concern for her patients. She prescribed me medication and also gave me a referral for a specialist just in case.Overall, I really recommend this place. Everything is super clean and the staff here will actually take care of you. They won't try to rush you out like many other urgent cares. Plus they also have $5 off when you check in!",912,1,1,,,,,,,
Nenetzyn B.,"CA, CA",0,4,5/10/2022,They got me into a room and took my blood pressure pretty quickly. Ladies out front didn't know how to look up my insurance information. It was either pay out of pocket or leave. I left and called Kaiser. Kaiser said they didn't understand why they couldn't find my insurance information.,,,,,,,,,,
Meggan S.,"Los Angeles, CA",0,3,4/22/2022,Came in for a possible broken finger (it wasn't) and the staff was terrific. Everyone was so nice and thoughtful but especially Ahn who took my x-rays. She made it super fun and easy. Glad I picked this urgent care facility!,,,,,,,,,,
Tat C.,"Los Angeles, CA",0,13,10/3/2021,"The doctor here is a COVID-denier, an anti-vaxxer, and provides BLATANTLY FALSE MEDICAL INFORMATION. She tried to convince me not to get the COVID vaccine because I had already gotten Covid once before, and she said that I am immune for life after getting Covid once. Oh really, then why are so many people getting reinfected / infected more than once? Is she a scientist? Has she conducted tests to prove her claims that getting Covid once grants you immunity for life?It is INCREDIBLY damaging to the downtown community as a ""health care professional"" to be making false claims that can directly lead to sickness and deaths. She was sounding like a legit conspiracy theorist during my appointment, saying that the government just wanted to scare people into getting the vaccine.She even went as far as claiming that the directors of the clinic wanted to offer vaccines, but she told them that if they did, she would quit. What kind of doctor doesn't believe in science?",1,19,5,,,,,,,
Claudia R.,"Los Angeles, CA",0,24,3/25/2022,"The service was amazing!!' From the all staff. Thank you for your help today!!!  It was my first time here, and it was a really good experience!!!",,1,,,,,,,,
Jason N.,"Cerritos, CA",0,6,2/13/2022,"absolutely worse place ever.front staffs are unprofessional, secretaries dont know how to look up insurance, they are rude. wasted over an hour and all they said is they cant look up the insurance information, meaning they dont know how to do their job.will never come back here.",,2,,,,,,,,
Stephanie Z.,"Los Angeles, CA",557,4,5/28/2022,Great service! Front desk was so friendly. I've never been in and out of an urgent care so quickly. Highly recommend,,,,,,,,,,
Cheryl R.,"Henderson, NV",290,14,3/9/2022,"I cant say enough about the friendliness of the office. Everyone was super nice. Thank you especially to Anne, the xray tech, for being so sweet and patient with me. Dealing with my insurance and all. I appreciate you being gentle with my hand and wrist also. I would recommend coming here.",4,,,,,,,,,
Jaime T.,"Los Angeles, CA",318,6,3/31/2022,"This place is amazing. Friendly staff (shout out to Anh - took SUCH great care of me). Short waits and extremely thorough, especially when it comes to dealing with your insurance. They don't charge you anything until they speak to you first. I've never had a more pleasurable experience at an Urgent Care. This place is a totally well-oiled machine, and it really seems like they care about their patients. 5 stars!",,,,,,,,,,
Steffi L.,"Los Angeles, CA",96,190,10/3/2021,Great supportive physician that explained things well. Easy check in process. Loved this urgent care!,727,,,,,,,,,
Joan R.,"Los Angeles, CA",317,24,9/24/2021,"Since covid has started i been coming here a handful of times. Taking covid tests for myself and my 4 kids just to make sure we are safe. Coming in urgent care when our primary doctor can't take us in or just the fact is after hours was easy to check in. Every time we arrived ANH has assisted me and my kids. She is so pleasant. sweet and importantly to me was caring and informative . Thank you Also, what i liked about this place very clean and it has parking . Definitely go to urgent care location.",56,,,,,,,,,
Tony B.,"Reseda, Los Angeles, CA",390,18,9/24/2021,"Thank you Urgent Care, staff, and especially ANH. ANH, Thank you for taking care of me and my family and making us feel very important, especially during covid. Thank you",8,,,,,,,,,
Tawn T.,"Fremont, CA",280,31,9/27/2021,"This review is for the amazing, helpful and friendly Anh. She was so helpful over the phone and even gave us instructions  on where to park so we didn't have to pay or struggle and search for parking.Anh was very informative and helped get my daughter in for her exam and also obtain the necessary medical help. Anh is professional, friendly and efficient at what she does.I highly recommend this facility to all and if you happen to have Anh help you, its your lucky day.Thank you so much for being so amazing during these trivial times",95,,,,,,,,,
Shelby M.,"Hesperia, CA",0,5,4/25/2022,Came here a couple times during COVID and had a good experience so I decided to return. I had gotten in a car accident and was having chest pain. I never go to the doctor so I was a little anxious but Ann made me so comfortable  shoutout Ann! Beyond that it is a clean facility and I was seen quickly,2,,,,,,,,,
Ashley D.,"Orchard Hills, Irvine, CA",0,2,4/26/2022,"Terrible service. Ladies at front are extremely rude. Came to this location after calling ahead to verify i could be seen, uber alone as a college student, and then get told they won't take me back because ""they have a packed house"" as i see doctors and nurses packing up and walking out the front door - saying goodbye for the night to their coworkers. Extremely unprofessional when their website says they will normally take walk ins up until 7:30, I arrived at 7:15 and verified before coming here. Thank you for nothing as i'm in visible pain with a kidney infection.",1,,,,,,,,,
Forrest R.,"South Scottsdale, Scottsdale, AZ",0,5,6/4/2022,"Well where do I begin let's see I'll start with level of how  busy it was, surprisingly at an all time low only one other customer( I think to myself this should be not too bad) I had my Service animal with me as well with required paperwork but to my surprise which finding out later was illegal on the facility's part I was denied service due to my service animal Strike 1. After taking additional time out of my day to drive back to my apartment drop off my service animal and return I find 3 other customers in front of me not a problem after waiting 40 minutes to be put in a room to wait an additional 40 minutes for a simple prescription refill Strike 2 and to take the cake in this cluster Phuk of a situation the customer service (Paddy /specifically was her name can't recall if the spelling is correct ) apparently she was having a bad day starting with denying access to my service animal she then continued to have conversations about me in Spanish right in front of me obviously being a white male I held my tongue under the assumption she had made on her part that I didn't know what she was saying (unfortunately for her I spend a portion of my year donating my time with others to build houses in Mexico so comprehension wasn't an issue on my part) thus the reason policy is formed in professional settings so that the patron or customer doesn't feel isolated or concerned when fellow employees converse in other dialects to essentially talk down upon you in secret or delay you from being serviced",3,,,,,,,,,
Frank P.,"Torrance, CA",9,37,11/12/2021,"I've been here many times and always got great care -- but on my most recent visit, the young female physicians assistant who treated me mentioned that since I had been vaccinated I was at ""much higher risk of heart attacks"" -- this simply isn't true? There are some risks of vaccination for young men like myself, including myocarditis and pericarditis -- but those risks seem to be largely outweighed by the benefits of the vaccine. She said ""dozens"" of her patients had heart attacks after receiving the vaccine. There's no way this is factual. Also, I never saw a doctor during my visit, only this physicians assistant. I assume when I pay for a visit to an urgent care I'll see a doctor, but that wasn't the case. I don't want to go back knowing I might be treated by someone who's anti-vaccine. It makes me wonder at the hiring practices of this location.",5,2,,,,,,,,
Andy P.,"Los Angeles, CA",2,50,6/29/2021,"Moved around the Downtown area found this amazing urgent care staff at the front desk was very friendly,opened all 7 days, MD Peter Chung was detailed with my Diagnosis,also helpful with several solutions to get Better.",34,,,,,,,,,
Dee J.,"Los Angeles, CA",0,4,7/27/2021,"I was in need of a physical exam for employment purposes and a couple other tests and I decided to call. How bad could it be? Well..I don't remember who the receptionist's name was but she gave me a hard time. I asked her kindly what kind of services they offered for exams (TB testing, Flu Shots, etc.). She seemed so annoyed with giving me information and overall just didn't answer the questions I had. I was beginning to dread the call. And then she abruptly hang up on me in the middle of a question regarding insurance. Definitely not going to try calling again.",2,,,,,,,,,
Anthony D.,"Los Angeles, CA",0,5,11/29/2021,I visited Downtown Urgent care this morning. I was experiencing a Bad allergy attack and shortness of breath. I was impressed by the great medical service I received. The medical provider and the Nurses treated me like family. The front office staff greeted me with a smile. I LOVE this place!! Great Job guys and gals.,,1,,,,,,,,
Jasmine H.,"West Covina, CA",25,26,9/24/2021,When in for some minor surgery. Anh was very helpful and super comforting since I was freaking out. She make me feel like I was gonna be ok and kept checking on me. I've been here in the past and Anh is usually the person who assists me with anything. Great to see that she's still working at this location. Keep up the great work!,5,1,,,,,,,,
Ray J.,"Los Angeles, CA",202,54,9/28/2021,"Writing this review after my second visit; I highly recommend this urgent care clinic.  The facility is clean, the nurses are friendly, and the doctors are not condescending or patronizing.  I first came in after I slammed my thumb in a car door. My wait was 30 minutes and after receiving an x-ray on site, the doctor confirmed that I had a small fracture on the tip on my thumb.  Ouch.The first doctor I saw was compassionate.  At the time, she didn't feel that it was appropriate to drain the fluid collecting underneath my fingernail.  She wrote my prescription and the nurse on-site, Anh, delicately wrapped my crushed finger. I came back 2 days later after the pressure in my nail bed became intolerable.  I saw a second doctor who drained my finger and there are no words for the sweet relief of releasing fluid that's making your finger feel like it's in a vice.Make sure your health insurance covers urgent care.  While I was in the waiting room, there were a few people caught off guard after finding out they had limited insurance coverage.  That speaks more to the necessity of universal health care than the staff or the facility.Overall, I had a 5 out of 5 experience and thank you Anh for your recommendation and for taking care of my thumb!",26,1,,,,,,,,
Nicole T.,"El Monte, CA",40,2,10/2/2021,"Anh is very informative and displays excellent customer service.  She took me in and explained everything that I needed to know, and how to get tested for Covid-19.   Not only will I return for future services , I will tell my family and friends to ask for Anh!!  Love her warm personality!!  Anh is ROCKSTAR!!!",,1,,,,,,,,
Kaylin N.,"Los Angeles, CA",0,36,9/28/2021,"Clean, great patient service and care, and quick wait times. This is not your traditional nightmare walk-in. Very pleasant experience each time I've had to go (about 3-4 times in 3 years). I recommend Downtown Urgent Care to anyone who needs to be seen by a doctor right away.",,1,,,,,,,,
Juan V.,"Alhambra, CA",0,2,9/24/2021,This place is great and the staff was very kind. Anh was the one who helped me and she was nothing short of amazing! The place was very busy but she made sure to give me all the help I needed and was very kind and thoughtful. I came in for a covid test and I was a little nervous but she quickly made me feel at ease and was very helpful throughout. Definitely a great experience and highly recommended!,,1,,,,,,,,
Claudia B.,"East Los Angeles, CA",11,1,10/3/2021,This urgent care is awesome i come with my kids to get COVID test almost weekly for school clearance and i have to say they provide my family such great service. Nurse Anh  p. so friendly and makes my family feel welcome as well as the other young nurse with the glasses always very kind. Both Doctors i see are extremely caring and detailed and show interest in our health. Doctor Sandy such a great person Definitely recommend this urgent care.. Thank You Downtown Urgent care for such great hard work..,,1,,,,,,,,
Oriana G.,"San Francisco, CA",2,30,4/15/2021,"Lost a battle today with gravity and a kitchen knife and had to quickly find a place to get stitched up. Chose downtown urgent care for its proximity to home and its great reviews and am 100% glad I did. I was admitted immediately, all staff from receptionist/nurses/doctor/aides were friendly and efficient. I was in and out within an hour with a few stitches and follow up instructions and any meds I needed. Thanks for making a what started out as hugely negative  (and could have easily continued) experience as painless and pleasant as possible",2,,,,,,,,,
Dave L.,"Los Angeles, CA",25,82,9/21/2021,"Horrible service. If you're paying cash for service, they take care of you right away. If you use your insurance they make you wait at least 45-50 minutes while they ""check"" your insurance. Their version of ""checking"" is about 35 minutes of chit chat between co-workers, mixed in with some personal cell phone time. The last 10 minutes is actually on the phone. If you don't believe me, feel free to swing by. It's your time wasted, not mine.  :)",94,1,,,,,,,,
Stephen H.,"Los Angeles, CA",6,9,10/11/2021,"As a precaution I came to visit this Urgent Care as I was recently experiencing some COVID symptoms. I arrived as soon as I could to be seen ASAP to get tested and was greeted with such professionalism I believe by the front desk rep Anh. She made the super paperwork easy to complete and the great news my results were negative and I found out I am positive for antibodies. All in all great experience felt like a family style environment, they met their commitment in a timely manner and I would highly recommend this place to others for any urgent medical needs. Thank you guys!",24,,,,,,,,,
ms. L.,"Los Angeles, CA",302,14,9/24/2021,"The staff here are really nice and attentive especially Anh she was helping me with my covid testing and was extremely gentle with me, I come from the medical field myself and I know good patient bedside manners when I see it! Overall my experience here was a great one :)",8,,,,,,,,,
Sarah B.,"Rome, Italy",111,9,10/12/2021,"i tried to come to this urgent care during their operating hours because i cut my hand and wanted a doctor to look at it and tell me if i need stitches. I tried to open the door and the woman sitting at the desk just shook her head at me and stayed sitting. I looked for a number to call and stood outside the door and called. I watched three people sit at the counter as the phone rang, just ignoring it. Finally a woman came around to the door and opened it a crack and said ""what do you want??"". I said i cut myself and I was trying to go to urgent care and she rudely told me they weren't accepting patients and I should have gotten there at 7:30 when they stop accepting patients. Why does it say they're open until 8? Honestly everyone was so rude just go somewhere else.",7,,,,,,,,,
Mia R.,"Los Angeles, CA",294,262,4/19/2019,"I would highly recommend this Urgent Care location to everyone! Although I was in a lot of pain going to the urgent care, this location made being at the doctors office a very painless experience! The facility itself was very clean and the entire staff is so friendly and helpful! I walked right in and was seen almost immediately.The best part of the visit is the free parking, which is almost unheard of being in Downtown LA!",750,6,,,,,,,,
Laura L.,"San Francisco, CA",1117,69,1/16/2021,"This is such a great facility. Everyone ive encountered is very nice. Ive seen one of the doctors twice over the last year, and he has had such a kind and calm demeanor each time. Anne who works here is absolutely lovely and made me feel very comfortable upon arrival and getting me settled into the room. She was super professional and efficient, and her approach remained kind and human-- this is such a rare balance to find, and must be so difficult to do especially in a job that can be so high-stress. I so appreciate the team here. Thank u!",,1,,,,,,,,
Ashley R.,"Brooklyn, NY",349,20,10/23/2021,Staff is very helpful and pleasant. Rapid covid test was easy and the doctor ensured all my questions were answered. Since they take my insurance this will be my go to urgent care from now  on!,5,,,,,,,,,
David C.,"North Hollywood, Los Angeles, CA",81,12,9/9/2021,This location is awesome. They were super fast and really friendly. They helped me with exactly what I needed. I highly recommend,,,,,,,,,,
Dylan Z.,"Rancho Cucamonga, CA",0,20,7/13/2021,"Went here for my knees , The reception are sucks.more than 4 times they said they will call me back and never . At first I was asking for my insurance is qualified for here?they said they will ask . It took three times but they still not telling me, I was just go take a risk.Docter prescription to take MRI, I supposed to get the result  around three days, it's almost 20 days now .I still got nothing! No one called ... and I call them they always say doctor will call me tomorrow morning . But never . I have just called again today, answered by someone very mean and and not professional.hopefully they will call me soon with my MRI result.",16,1,,,,,,,,
Jenny Z.,"North Vancouver, Canada",0,4,1/9/2022,I really appreciate Danielle's efforts in solving my problems!,,1,,,,,,,,
Karla M.,"Manhattan, New York, NY",48,93,12/3/2020,I'm just so upset by their lack of urgency. They have a massive line outside and everyone is trying to get covid tested and it's just a mess!! They are cleaning each seat after someone moves (which is why I didn't give 1-star) BUT they're doing it so slow. I hope the management can see this and inspire some urgency with the team! This is crazy.,109,1,1,,,,,,,
Jim L.,"Whittier, CA",0,64,1/11/2022,"Horrible service.  Called to make an appointment for Covid test.  The person on the phone said that I was in luck that they had a cancellation, so I made the appointment for my wife.  We fought traffic for 40 minutes to get there, only to be told that my wife did not have an appointment by a rude, snooty little B@$%^$.  No consideration, desire to try and help...just ""I told you no"" attitude.",6,,,,,,,,,
Manal D.,"Downtown Los Angeles, Los Angeles, CA",0,2,12/28/2021,I had a appointment at 9:30 got here at 9:20am for my appointment and stood in line AS DIRECTED ON THE SIGN IN FRONT OF THEIR BUILDING! Waited in line until 10:30 and walked in when it was my turn and they tell me they couldnt see me because my appointment was at 9:30!!! That they had someone come outside to tell people with appointments to come in... that's a lie.. AS THEIR TELLJNG ME THEY CANT SEE ME AND I HAVE A APPOINTMENT THEY TOOK SOMEONE THAT SCHEDULED AT A WHOLE DIFFERENT OFFICE BECAUSE THEIR PAYING IN CASH!!!!!!! The front staff is fucking horrible not one person has basic manners.. if your not paying in cash don't even bother coming fucking ridiculous,4,1,,,,,,,,
Lesliee C.,"South Los Angeles, Los Angeles, CA",0,8,7/15/2021,"Given the location, this facility definitely exceeded all of my expectations, even more so! I've been here a few times, once in the peak of COVID when there was a line wrapped around the building to get in and also in recent days with no line and I was admitted within 5 minutes. Every single time my experience here has been lovely! All the staff here is very professional and friendly. I've seen when they're understaffed and a bit overwhelmed but even then they treat you with the utmost respect and with a smile on they're face. Shoutout to Ahn, the X-ray technician, she's a doll & always has a great attitude. This facility is definitely my go-to for all my urgent medical needs. Thank you all for all that you do! All your hard work is appreciated.",2,,,,,,,,,
Jenni T.,"Los Angeles, CA",381,48,3/21/2021,"The facility was super clean and was not as packed compared to other urgent care facilities. The staffs are extremely welcoming, accommodating and friendly. They even have follow-up calls to check in to see how you're doing even after a visit that was not major. Their sign in is quick and fast. Ample parking in the structure and streets. Would definitely recommend this urgent care facility to others and go back there for any urgent needs in dtla.",3387,3,1,,,,,,,
Jennifer C.,"Los Angeles, CA",0,3,7/30/2021,"Prompt friendly service , quality care, I got exactly What I needed to feel better, and was able to get the prescription on site , it was so easy and convenient, I Would recommend this office to anyone.",,,,,,,,,,
Joseph M.,"Santa Monica, CA",55,1,4/22/2021,Came here about a week ago due to me having a cyst on my foot that was making it hard for me to walk or stand for too long so I came here and they had me wait a long time to see a doctor for him just to come him and tell me oh don't worry it's a callus and you just have to keep walking on it and prescribed me a cream that cost $300 he literally just looked at it and told me that and send me on my way and I paid them $100 just for that. So the next day the pain is even worst went to a podiatrist and turns out I had a foot infection from stepping on a nail ! So this Doctor here does not have your best interest he was the Filipino older man. Such a waste of time and money ! Or if you do go here make sure the older Filipino man does not see you!,,1,,,,,,,,
Rosario V.,"South Los Angeles, Los Angeles, CA",0,6,10/21/2021,I visited this Urgent Care yesterday and they were all very nice and attentive. Ann took good care of me and was very professional. I would totally recommend this location. Great service!,,1,,,,,,,,
Elissa H.,"Oslo, Norway",0,22,2/20/2021,"I've been here a few times for a pre op I needed. The first couple times I went they missed a couple labs so I had to return. But the staff is always friendly. The doctor has the such great bedside manner. I was in there today and the tech I had was amazing. She was quick, friendly, and efficient! The facility is also very clean!",10,2,1,,,,,,,
Veronica A.,"Los Angeles, CA",6,11,5/15/2021,Absolutely loved my experience here today. Great location it's very clean outside and inside. I was helped with in minutes. Thank you to the wonderful and friendly staff here. Thank you Erika and Dr. Peter Y Chung and the lovely receptionist Roxana. I will be back and telling all my friend and family.,5,,,,,,,,,
Tabetha J.,"Los Angeles, CA",179,212,8/22/2019,"Updating my review. Last time I declined one test and took one test, got treatment and got better. They obviously make lots of money off of these quick tests and that's fine. But they always want to do at least two and patients should be able to decline.  This time, when I declined an eye test when the main reason I was there was for what seemed like mono symptoms, the doctor refused to see me without me agreeing to take an eye test. I waited 2hrs for this awesome service. When you are sick and vulnerable and told that you need tests and the doctor refuses to evaluate you before even issuing the test - something seems very wrong with that.",309,4,1,,,,,,,
Jeniffer H.,"Echo Park, Los Angeles, CA",0,1,10/6/2021,I brought my little sister in for an infected ingrown nail. She's very scared of blood and has a very low pain tolerance. Anh was very attentive and made sure my sister was comfortable throughout the entire procedure with Dr Chung. Thanks to Anh for being so amazing at what she does. You can tell she truly loves what she does and cares about her patients!,,1,,,,,,,,
Kelcie S.,"Monterey Park, CA",0,3,9/24/2021,"Went here for a rapid covid test not too long ago, and the staff here is super nice. I had Anh help me get tested and she was so sweet and thorough with explaining everything!",,1,,,,,,,,
Jordy M.,"Central LA, Los Angeles, CA",0,4,9/24/2021,"I came because I have a sprained ankle and get my s rays, my experience here was amazing I was immediately attended and karina and Anh were very helpful",,1,,,,,,,,
Tina P.,"Los Angeles, CA",0,9,10/6/2021,"I hurt my knee and came to this urgent care, was well received, I did not wait long at all, Anh took awesome care of me, she explained everything.  Beonka was very helpful and helped me with some forms I needed help with.  Dr. Chung is the best, I really wish I could have him as my regular Doctor.  I wish I could give this place more stars, but this place is great and I felt comfortable with my health being treated here.",1,1,,,,,,,,
Fee C.,"Las Vegas, NV",849,7,6/8/2021,"Visited this facility about a week ago for a check up. Very thorough in diagnosing, doing bloodwork and providing treatment. I can't say enough about the professionalism and care provided by Dr. Chung and his awesome staff!",2,,,,,,,,,
Vanessa E.,"Los Angeles, CA",3,1,10/11/2021,I visited this facility last year on a Saturday morning for covid antibody test. The process was quick and painless. Anh was amazing! She thoroughly explained the process and answered all my questions. I would definitely recommend this place. Make sure you ask for Anh!,,,,,,,,,,
Jennifer D.,"Los Angeles, CA",56,28,2/6/2021,Amazing staff Super fast and friendly! Doctor was very informative and patient with all my questions I was treated like a Queen by Daniel the medical assistant I came here as a walk in at 430 pm on a Saturday and was out by 540 pm they did a minor laceration repair and sent me home with antibiotics. Again I highly recommend this urgent care.,3,1,,,,,,,,
Elia A.,"Alhambra, CA",0,2,10/6/2021,Have been here several times and I can honestly say its always the most pleasant experience. This urgent care I is the best office experience i have had with any type of doctors office or urgent Care. Fast and friendly office. Beonka helped me out and she was a great help. Will be coming beach to this office in the future.,,,,,,,,,,
Juan T.,"Central LA, Los Angeles, CA",0,11,10/16/2021,"Dr. Chung and Tracy were amazing. I came in to get some stitches. It was my first time getting stitches. They explained the process thoroughly and were very calm. They made me really comfortable. Also, they haves  parking garage! I would highly recommend Downtown Urgent Care.",3,,,,,,,,,
Simon C.,"Hawthorne, CA",247,6,4/2/2021,"Came to this urgent care on a Friday, a few days after my initial accident.  I thought I had just sprained my ankle but turns out I had actually fractured a bone in my foot/ankle.  The staff was super attentive and extremely nice.  One of the staff in particular, Daniel, was extremely helpful and joked around with me which made the time pass by quicker.  Doctor Chung was extremely detailed in explaining what might've happened and after he saw my x-ray he explained that I should probably wear a boot / crutches but never pressured me into making an ill-informed decision of purchasing things that I didn't need from them.  Ended up in a boot and all is well.  Would highly recommend this location for your needs!  Everyone is extremely helpful, attentive, and nice!",,,,,,,,,,
Govind M.,"Los Angeles, CA",47,26,6/17/2021,"I showed up here at 7:35 with a bleeding elbow - it says clearly on Yelp , their website and on a sign at their entrance that they close at 8. The door was locked and there were 5 or 6 patients waiting inside . After knocking a nurse came and said they were closed - I said it is 25 minutes before 8 - she says - we have patients waiting and by the time we are done with them it will be 8 , and the doctor will not see any other patients . I said there are no other patients trying to get in - I fell , have a terrible laceration on my elbow , I'll bleeding and could barely drive here , I might have a cracked elbow , can you please request the doctor to see one more patient ? She goes in, asks the doctor , returns and says no - please go to ER at a nearby hospital . The doctor has obviously forgotten his or her Hippocratic oath , and these  greedy leeches have no interest  in the well being of their patients . Absolutely shameful and a disgrace to the medical community - I will be making formal complaints to every single medical organization - and posting this everywhere I can -",58,2,1,,,,,,,
Valerie P.,"Lancaster, CA",20,47,7/27/2021,"This place is conveniently located within walking distance of my work. They only take walk-ins, no appointments. I showed up around 4:30 on a Tuesday and was immediately told it was 2-2.5 hour wait. I was hesitant to leave, but stuck it out. Luckily, I was taken to a room about 45 minutes from check in. I was seen maybe 15 minutes after I was placed in a room. I spent maybe five minutes with the doctor, which was enough to verify and discuss my issue and a treatment plan. I did not feel rushed by either the doctor or any of the staff. I did not feel like I was a bother to anyone. I was able to purchase the recommended antibiotics here as well which was SUPER convenient. I was in and out in about 75 minutes. The doctor was Asian and was fluent in English (no offense) which is a big thumbs up for me. The clinic was clean and the staff was very friendly. I will definitely be back if I need any other help and I do recommend this place!",16,1,,,,,,,,
Adriana T.,"Pico Rivera, CA",0,7,12/29/2020,"Want to thank Erica for being so kind and friendly! I went in on Christmas Day and she was AMAZING! Very soft hand at drawing blood!! Thank you again Erica , wishing you and your family a Happy New Year",1,2,,,,,,,,
Ervin P.,"Los Angeles, CA",3,2,2/10/2021,test result are coming back badI tested positive even having no symptomsI just went there to try out the system Same day I got tested on 2 diferentes spot one in Pasadena the other one in Gardena and those 2 places I came back negative That makes me think this place is just making stuff up.!! And checking the reviews I'm not the first one having this problems here,,1,,,,,,,,
